seed,feature_group,test_week,perturbation_type,strength,trial_id,n_masked_features,flip_rate,benign_to_malware_rate,malware_to_benign_rate,mean_abs_probability_shift,mean_signed_probability_shift,mean_margin_shift
13,header,2024-09-29_2024-10-05,random,0.1,18,8,0.0579,0.038625,0.0025,0.20660987452772164,0.027631712440848805,-0.19758985420719946
13,header,2024-09-29_2024-10-05,random,0.1,19,8,0.032225,0.00945,0.01165,0.15885690565046479,-0.03987530306509882,-0.15179556748828932
13,header,2024-09-29_2024-10-05,random,0.1,20,8,0.0084,0.00395,0.001625,0.07224644481879808,-0.032965356208666245,-0.06968332649299808
13,header,2024-10-06_2024-10-12,baseline,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,header,2024-10-06_2024-10-12,important,0.01,0,1,0.0078,0.002625,0.001425,0.019307350979183964,-0.005653951592031015,-0.015716398338982692
13,header,2024-10-06_2024-10-12,important,0.05,0,4,0.126025,0.08955,0.004375,0.1937652703048241,0.12871272631206165,-0.15262996416967986
13,header,2024-10-06_2024-10-12,important,0.1,0,8,0.2248,0.094575,0.095525,0.3422772101973691,0.04206206819016113,-0.32153584431458965
13,header,2024-10-06_2024-10-12,random,0.01,1,1,0.0,0.0,0.0,1.050000000000177e-06,8.500000000000728e-07,-8.499999999999369e-07
13,header,2024-10-06_2024-10-12,random,0.01,2,1,0.026075,0.0131,0.00105,0.06715111046027095,0.0346913330315405,-0.053115956942311575
13,header,2024-10-06_2024-10-12,random,0.01,3,1,0.0001,5e-05,0.0,0.0009345974339081042,0.00044899998503140193,-0.0008960367936622145
13,header,2024-10-06_2024-10-12,random,0.01,4,1,0.0333,0.0142,0.00715,0.06352603093177871,0.015246613535537506,-0.04729177951532728
13,header,2024-10-06_2024-10-12,random,0.01,5,1,0.0001,5e-05,0.0,0.0009345974339081042,0.00044899998503140204,-0.0008960367936622145
13,header,2024-10-06_2024-10-12,random,0.01,6,1,0.00215,0.000175,0.00125,0.009684872725052723,-0.006615463576423573,-0.008216740024526704
13,header,2024-10-06_2024-10-12,random,0.01,7,1,0.0002,2.5e-05,0.0001,0.0018397877539390365,0.0005120791586763551,-0.0017299847259442135
13,header,2024-10-06_2024-10-12,random,0.01,8,1,0.0,0.0,0.0,0.000159172941176471,-0.00015917294117647078,-0.00015223882352941186
13,header,2024-10-06_2024-10-12,random,0.01,9,1,0.0002,2.5e-05,0.0001,0.0018397877539390365,0.0005120791586763552,-0.0017299847259442135
13,header,2024-10-06_2024-10-12,random,0.01,10,1,0.02385,0.001775,0.014125,0.07703287888200111,-0.03949802693666497,-0.06776883923439894
13,header,2024-10-06_2024-10-12,random,0.01,11,1,0.014325,0.000225,0.010175,0.06527734490165824,-0.05317154023835129,-0.06170677871975416
13,header,2024-10-06_2024-10-12,random,0.01,12,1,0.0,0.0,0.0,8.000000000003112e-07,7.999999999999407e-07,-8.000000000000604e-07
13,header,2024-10-06_2024-10-12,random,0.01,13,1,0.000675,5e-05,0.000225,0.0017327642247287052,8.496376116886957e-05,-0.001513062969186861
13,header,2024-10-06_2024-10-12,random,0.01,14,1,0.0,0.0,0.0,5.190000000000023e-05,-4.9199999999999997e-05,-4.369999999999997e-05
13,header,2024-10-06_2024-10-12,random,0.01,15,1,0.000175,0.0,0.0,0.00039293214285714297,5.271547619047623e-05,-0.00023318892285060472
13,header,2024-10-06_2024-10-12,random,0.01,16,1,0.00505,0.001625,0.000875,0.020894003143061408,-0.008392428757002853,-0.018787103555484578
13,header,2024-10-06_2024-10-12,random,0.01,17,1,0.006875,0.00255,0.0009,0.01948992540568974,0.009168027388600614,-0.013976926463973456
13,header,2024-10-06_2024-10-12,random,0.01,18,1,0.0,0.0,0.0,4.1900000000000246e-05,1.3600000000000029e-05,6.700000000000092e-06
13,header,2024-10-06_2024-10-12,random,0.01,19,1,0.0,0.0,0.0,2.740000000000023e-05,-2.58e-05,-2.7399999999999856e-05
13,header,2024-10-06_2024-10-12,random,0.01,20,1,0.00065,0.000175,7.5e-05,0.0015032574266938313,0.00017750544521956933,-0.001254648254611442
13,header,2024-10-06_2024-10-12,random,0.05,1,4,0.00285,0.0006,0.001025,0.012257231689292518,-0.0020903324647694376,-0.011325227491543152
13,header,2024-10-06_2024-10-12,random,0.05,2,4,0.0126,0.003975,0.003275,0.03897665425651745,-0.005666332822066905,-0.03307550807436457
13,header,2024-10-06_2024-10-12,random,0.05,3,4,0.0078,0.002625,0.001425,0.019329000979183962,-0.005660251592031014,-0.015738598338982692
13,header,2024-10-06_2024-10-12,random,0.05,4,4,0.040025,0.01715,0.00915,0.089877856266913,-0.007723006693521711,-0.07697533775695371
13,header,2024-10-06_2024-10-12,random,0.05,5,4,0.016325,0.0034,0.007475,0.09423643418651814,-0.04127223410134975,-0.09005599255481217
13,header,2024-10-06_2024-10-12,random,0.05,6,4,0.033425,0.01695,0.003075,0.093860578043508,0.040909764343998394,-0.07990667956180285
13,header,2024-10-06_2024-10-12,random,0.05,7,4,0.063,0.032375,0.009,0.1165986878495865,-0.009322480310912373,-0.09339179278784263
13,header,2024-10-06_2024-10-12,random,0.05,8,4,0.018525,0.007225,0.00325,0.06132233854438701,0.00837524509428153,-0.049363270098424256
13,header,2024-10-06_2024-10-12,random,0.05,9,4,0.0067,0.00125,0.002625,0.03439378956342342,-0.017408880045315066,-0.032214342152496196
13,header,2024-10-06_2024-10-12,random,0.05,10,4,0.027625,0.0062,0.012425,0.1005358635312881,-0.02615250561503364,-0.09086271346635513
13,header,2024-10-06_2024-10-12,random,0.05,11,4,0.0468,0.001625,0.03445,0.13676037329578797,-0.09181134146188304,-0.12496028151054885
13,header,2024-10-06_2024-10-12,random,0.05,12,4,0.03895,0.002125,0.02725,0.14169764745046112,-0.0788210256618374,-0.12806134681121495
13,header,2024-10-06_2024-10-12,random,0.05,13,4,0.021075,0.010075,0.001825,0.0629462169408773,0.02325250908926499,-0.05329771897463248
13,header,2024-10-06_2024-10-12,random,0.05,14,4,0.00435,0.000275,0.002425,0.03248423199053721,-0.02299679671813678,-0.03067137696359712
13,header,2024-10-06_2024-10-12,random,0.05,15,4,0.021425,0.0127,0.0009,0.10483469883891434,0.04910922220329613,-0.1012173287096144
13,header,2024-10-06_2024-10-12,random,0.05,16,4,0.02255,0.005225,0.00955,0.0948204760129388,-0.051313623429162916,-0.087590834147875
13,header,2024-10-06_2024-10-12,random,0.05,17,4,0.0308,0.015875,0.0012,0.08951179231041365,0.024516889780961164,-0.07513561459715336
13,header,2024-10-06_2024-10-12,random,0.05,18,4,0.003575,0.00085,0.0014,0.037269963425054786,-0.019859282539668878,-0.03626617968066778
13,header,2024-10-06_2024-10-12,random,0.05,19,4,0.00435,0.00025,0.002675,0.0317975936105401,-0.01900391035068593,-0.03058784646689272
13,header,2024-10-06_2024-10-12,random,0.05,20,4,0.0588,0.03955,0.000775,0.1508446226582777,0.07858408810432276,-0.1344684119887687
13,header,2024-10-06_2024-10-12,random,0.1,1,8,0.024125,0.0136,0.001025,0.09329996098125828,0.051373147434789636,-0.08692772437595621
13,header,2024-10-06_2024-10-12,random,0.1,2,8,0.050525,0.02725,0.0042,0.11866330799991454,-0.002532192924239135,-0.10470630182243601
13,header,2024-10-06_2024-10-12,random,0.1,3,8,0.0585,0.03615,0.0019,0.08362672341896367,0.05589991724204119,-0.04884474253466372
13,header,2024-10-06_2024-10-12,random,0.1,4,8,0.127925,0.089725,0.0026,0.18618114552689258,0.0991599304034015,-0.11090741923039771
13,header,2024-10-06_2024-10-12,random,0.1,5,8,0.1281,0.0944,0.00105,0.17043506214883133,0.09540659160003645,-0.10883034013660292
13,header,2024-10-06_2024-10-12,random,0.1,6,8,0.013425,0.003825,0.004625,0.06252899890538524,-0.0035380756348726513,-0.05754385920633249
13,header,2024-10-06_2024-10-12,random,0.1,7,8,0.083825,0.000825,0.0722,0.21227250762135608,-0.07662739884621578,-0.20080740155815002
13,header,2024-10-06_2024-10-12,random,0.1,8,8,0.09955,0.04595,0.0248,0.2555620550205166,-0.04168667665118593,-0.24240472502189978
13,header,2024-10-06_2024-10-12,random,0.1,9,8,0.02025,0.0018,0.0116,0.143817191902008,-0.03479191863303023,-0.13928989638173161
13,header,2024-10-06_2024-10-12,random,0.1,10,8,0.106975,0.075725,0.001225,0.18634556963760318,0.1216300043936395,-0.1463073749380491
13,header,2024-10-06_2024-10-12,random,0.1,11,8,0.04265,0.022175,0.00425,0.16320527276921243,-0.00015278653121538502,-0.1549348689508798
13,header,2024-10-06_2024-10-12,random,0.1,12,8,0.0442,0.005525,0.0285,0.22152328460380477,-0.020146978007785178,-0.21663539562974948
13,header,2024-10-06_2024-10-12,random,0.1,13,8,0.108,0.075075,0.0006,0.1485374419612754,0.11098660262604208,-0.10519868176501472
13,header,2024-10-06_2024-10-12,random,0.1,14,8,0.011175,0.00065,0.005975,0.09930404093962998,-0.05338987176641492,-0.09694452730510827
13,header,2024-10-06_2024-10-12,random,0.1,15,8,0.005575,0.00065,0.003075,0.05474454157906485,-0.038509801441593904,-0.05327551979016257
13,header,2024-10-06_2024-10-12,random,0.1,16,8,0.027475,0.014225,0.00255,0.1180343259563615,-0.01062634423898399,-0.11056012146320263
