feature_group,test_week,perturbation_type,strength,n_trials,n_masked_features,flip_rate_mean,flip_rate_std,flip_rate_min,flip_rate_max,benign_to_malware_rate_mean,benign_to_malware_rate_std,benign_to_malware_rate_min,benign_to_malware_rate_max,malware_to_benign_rate_mean,malware_to_benign_rate_std,malware_to_benign_rate_min,malware_to_benign_rate_max,mean_abs_probability_shift_mean,mean_abs_probability_shift_std,mean_abs_probability_shift_min,mean_abs_probability_shift_max,mean_signed_probability_shift_mean,mean_signed_probability_shift_std,mean_signed_probability_shift_min,mean_signed_probability_shift_max,mean_margin_shift_mean,mean_margin_shift_std,mean_margin_shift_min,mean_margin_shift_max
header,2024-10-27_2024-11-02,random,0.05,100,4,0.024977750000000003,0.020029268550985576,5e-05,0.106525,0.01057075,0.012270400897586842,5e-05,0.07545,0.00461475,0.004289632989837242,0.0,0.028075,0.0700698330946775,0.04156890013838568,0.00032374500000000023,0.16794726410001468,0.007315913958534479,0.031859785524457,-0.05508576126240565,0.10860866814810195,-0.06124331747518686,0.037501013186440946,-0.16003954563728837,-0.00026386500000000006
header,2024-10-27_2024-11-02,random,0.1,100,8,0.061359,0.04683291691214631,0.001925,0.32245,0.031595,0.038061835708488895,0.0003,0.2625,0.0103325,0.012270928296180367,0.0,0.075025,0.1332020378082247,0.05444799588924024,0.003255110651102058,0.2895079092527397,0.02481361145346555,0.057924335106301725,-0.07712722039210403,0.2500224402127621,-0.11529570133994056,0.046634402528179596,-0.25881810380156317,-0.002492796764096793
header,2024-11-03_2024-11-09,baseline,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,2024-11-03_2024-11-09,important,0.01,5,1,0.02404,0.01706923841300484,0.006975,0.054125,0.01517,0.012252871092115513,0.00285,0.036375,0.0009349999999999999,0.0008328565302619653,5e-05,0.002325,0.05391514309015111,0.028455902865689987,0.01859604089924918,0.08259089919780793,0.036043237122369676,0.03592555347113279,-0.007407626844194632,0.0735386953100978,-0.04390736005629351,0.023867129452214413,-0.06989045754224475,-0.015345250374477195
header,2024-11-03_2024-11-09,important,0.05,5,4,0.13455999999999999,0.00968167857347061,0.120575,0.149525,0.099045,0.00835967104615965,0.0878,0.1122,0.0043950000000000005,0.0011741379816699567,0.00265,0.00635,0.21455092112421204,0.0065872577273740785,0.20617978685156826,0.22196161218428243,0.12215237860889341,0.006217063367107873,0.1145022380278016,0.13351384291747773,-0.17238057557013062,0.003871197270648811,-0.17717249071469546,-0.16723724039295867
header,2024-11-03_2024-11-09,important,0.1,5,8,0.19417999999999996,0.017565473235868143,0.17495,0.220375,0.128255,0.0280521095463425,0.095075,0.177425,0.032369999999999996,0.028166125044102177,0.0039,0.083925,0.3302588568741977,0.014540914861710821,0.30552677922334376,0.344145973136051,0.07344844353947166,0.02432991028278525,0.03619459892660415,0.10723762070813635,-0.3021045763578624,0.02079692029139399,-0.32134657271601363,-0.2747138995266883
header,2024-11-03_2024-11-09,random,0.01,100,1,0.005610499999999999,0.010402979248753694,0.0,0.05625,0.0020975,0.005481399798409162,0.0,0.03765,0.0014229999999999998,0.0027311482933008234,0.0,0.01495,0.0180602832403905,0.026447599622235536,8.569533971325427e-20,0.08529872472901329,-0.0012716472150355446,0.017329836956535595,-0.055661457357314155,0.07192568163750465,-0.015583939948793575,0.022600529189060057,-0.07798108176365029,5.999999999999312e-07
header,2024-11-03_2024-11-09,random,0.05,100,4,0.022771250000000003,0.01986548714951385,0.000275,0.091925,0.010270250000000002,0.013687863554532534,2.5e-05,0.065225,0.004840249999999999,0.005085210043597019,0.0,0.025,0.07070616758780558,0.040404994971073034,0.000932876683590103,0.18865523629214234,0.0038334826153431467,0.0373100593788742,-0.07675517872204259,0.08539974617875153,-0.0627888606154721,0.035863105010653866,-0.18377530051790164,-0.0006330363066059755
header,2024-11-03_2024-11-09,random,0.1,100,8,0.048725250000000005,0.032547334855368724,0.00385,0.172475,0.0261055,0.025011514743213774,0.000475,0.13595,0.00858775,0.008232306401458828,0.0006,0.048275,0.13316218162324414,0.052670808545984826,0.008583849534822047,0.24713823993951836,0.010670795924395926,0.04275938158476375,-0.07841446404933873,0.165462457723111,-0.12041480219268846,0.04795422996645333,-0.23393061137188953,-0.006648997051817866
header,2024-11-10_2024-11-16,baseline,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,2024-11-10_2024-11-16,important,0.01,5,1,0.025929999999999998,0.017748291467068036,0.0076,0.05595,0.015845000000000005,0.011722237414418803,0.002375,0.03255,0.0011350000000000002,0.0008412193530821792,0.000125,0.002225,0.05382100669792269,0.029171938143271327,0.018011711721628493,0.08268987172579156,0.03761436452024273,0.03570424603160126,-0.006373578058457968,0.07463884802686975,-0.043614625986123146,0.024359487072237715,-0.07092422311344984,-0.014571711844922482
header,2024-11-10_2024-11-16,important,0.05,5,4,0.132135,0.008532344343731091,0.12105,0.14185,0.08945499999999999,0.006133278079461263,0.0808,0.097875,0.005135,0.0017844186728455855,0.0026,0.008075,0.21125232751694095,0.005975496805576361,0.20368890320546315,0.21990205033696225,0.13019987703090044,0.007857014475475042,0.12096764430149902,0.14462444755577536,-0.16850179477521393,0.003914155588884803,-0.1749306933124506,-0.1640199264074873
header,2024-11-10_2024-11-16,important,0.1,5,8,0.20110999999999998,0.016218581935545415,0.184075,0.2273,0.12238500000000001,0.026904509845005538,0.088,0.166325,0.034809999999999994,0.029547836638238,0.005875,0.0893,0.3324866338539393,0.014348628060792196,0.3088245381984415,0.34529048261374046,0.0839451554585945,0.024584106409311513,0.045325901004018586,0.11614854307049284,-0.3027612293114721,0.021491404483737972,-0.32232096359293366,-0.2750432381345382
header,2024-11-10_2024-11-16,random,0.01,100,1,0.00819,0.01281099283818393,0.0,0.061275,0.0029940000000000006,0.006056262378728319,0.0,0.03235,0.00180175,0.003623522552365308,0.0,0.019475,0.02144655541229505,0.027888105454388124,9.020562075079396e-20,0.08888856442905578,0.003510309742787274,0.021039369079156742,-0.05150592057912656,0.06997419244156267,-0.018184361921323736,0.023901994843946558,-0.07286223926878356,0.0003370928571428572
