model,view,seed,family,dimension,subset_repeat,sampling_mode,subset_indices_hash,auc,mix_at_10,js_divergence,same_family_rate_at_10
lightgbm,wild_b,13,imports,32,1,family_random,1d9186b654194c52,0.8044996068518518,0.2903711111111111,0.06881299938619008,0.4950065350970574
lightgbm,wild_b,13,imports,32,2,family_random,bf6199b17d9d5305,0.8619914807407407,0.21416138888888892,0.0017977270467841838,0.5611598681807838
lightgbm,wild_b,13,imports,32,3,family_random,107dc2404e674f13,0.869391424074074,0.20916555555555552,0.0017384913173432066,0.5687106073685889
lightgbm,wild_b,13,imports,32,4,family_random,89847282ea708ce0,0.7869870837037037,0.29593138888888887,0.030425120174483997,0.4592476011564577
lightgbm,wild_b,13,imports,32,5,family_random,c9bb88f778225536,0.7803154537037037,0.31764583333333335,0.0934346211094159,0.4376285341373285
lightgbm,wild_b,13,imports,32,6,family_random,449c65f532698e91,0.840114247037037,0.27812055555555554,0.06578438564958664,0.4583023539953745
lightgbm,wild_b,13,imports,32,7,family_random,95634c18d12433c7,0.8100358829629629,0.2768361111111111,0.07118387082314155,0.4877023131339586
lightgbm,wild_b,13,imports,32,8,family_random,9a4e400176c9c5b4,0.7885778281481483,0.3162161111111111,0.08952156028267176,0.43664068401700135
lightgbm,wild_b,13,imports,32,9,family_random,cc8933dbe1547fd9,0.8066539298148148,0.29048138888888886,0.06838643721596628,0.4668465114247215
lightgbm,wild_b,13,imports,64,0,family_random,63f388616ecc8be5,0.8506804453703704,0.23881305555555554,0.06431387458229862,0.5304801187964298
lightgbm,wild_b,13,imports,64,1,family_random,4f4ee04608d4085d,0.8446871172222221,0.25472472222222226,0.07298625897987446,0.524868801847686
lightgbm,wild_b,13,imports,64,2,family_random,a6569e02c8fb0c16,0.8688112662962965,0.22349611111111112,0.042737192587955934,0.5348104288952676
lightgbm,wild_b,13,imports,64,3,family_random,3af41bd4701aaa65,0.8518568337037039,0.24970888888888887,0.08889410193265986,0.5296084574953505
lightgbm,wild_b,13,imports,64,4,family_random,4f1e13c79845301b,0.8427336301851853,0.26270194444444445,0.08733299208482097,0.4925079069800035
lightgbm,wild_b,13,imports,64,5,family_random,7472ba5f2ef68777,0.8245508577777777,0.25357111111111114,0.09541846558132928,0.5148644438677187
lightgbm,wild_b,13,imports,64,6,family_random,e56f4133f0642964,0.8391609433333334,0.2509275,0.07428997590043553,0.5252427561850371
lightgbm,wild_b,13,imports,64,7,family_random,21271bc9f047b685,0.864302103148148,0.23144166666666668,0.07223825151977238,0.5396472197370884
lightgbm,wild_b,13,imports,64,8,family_random,51c9ea30d055763e,0.8348345149999999,0.25599638888888887,0.059702614307823476,0.5093389948628761
lightgbm,wild_b,13,imports,64,9,family_random,18180a4b687c7a5a,0.8677608733333333,0.2266677777777778,0.07379800577093452,0.5471060340984835
lightgbm,wild_b,13,strings,16,0,family_random,e9b91cdf1cb34a01,0.9394823355555557,0.13218222222222223,0.02106116643187529,0.6071927246200047
lightgbm,wild_b,13,strings,16,1,family_random,abe4f0070df7bb97,0.9402490107407407,0.138315,0.0026651443451812247,0.5876084345976951
lightgbm,wild_b,13,strings,16,2,family_random,d3c5c34565d2e994,0.9315872751851852,0.14313194444444444,0.020860646678476855,0.5804265222842128
lightgbm,wild_b,13,strings,16,3,family_random,20ab5afeead4b301,0.9453000231481482,0.13010249999999998,0.012823451249372161,0.6171790218076497
lightgbm,wild_b,13,strings,16,4,family_random,1a890b5783c46e27,0.9374415290740742,0.13140305555555556,1.9630711783271226e-05,0.5965851651132743
lightgbm,wild_b,13,strings,16,5,family_random,d9300a4754e57801,0.938024543888889,0.13606916666666666,0.03800684906933167,0.6086901393852352
lightgbm,wild_b,13,strings,16,6,family_random,02ab40fc1d513432,0.9306507653703703,0.14069055555555554,0.00021660805213000924,0.5940863185401989
lightgbm,wild_b,13,strings,16,7,family_random,1718c9aa79adc450,0.9460686688888887,0.13390555555555556,1.9175905381332963e-05,0.5838675545828346
lightgbm,wild_b,13,strings,16,8,family_random,ca31bc316e9cd0c1,0.9426627951851853,0.12526277777777778,0.033725018753151086,0.6092127838983656
lightgbm,wild_b,13,strings,16,9,family_random,585c20c3b5a58999,0.9346208744444443,0.14133305555555556,0.06145157895801434,0.5804713154601042
lightgbm,wild_b,13,strings,32,0,family_random,d26b0445f59c7ffa,0.9616012812962963,0.10885249999999998,0.00579266726363471,0.635187255295849
lightgbm,wild_b,13,strings,32,1,family_random,08910cae67d955fe,0.9589531198148148,0.10775388888888889,0.013084222004551482,0.6243678500634449
lightgbm,wild_b,13,strings,32,2,family_random,dc6b6890280c52a3,0.9533985690740742,0.12119944444444446,0.00928939801804855,0.613807944935228
lightgbm,wild_b,13,strings,32,3,family_random,973e96bf0ab1799f,0.958011826111111,0.11594805555555555,0.01609520938740405,0.6244292890512292
lightgbm,wild_b,13,strings,32,4,family_random,85e1f34971536469,0.9553506442592591,0.11433527777777779,0.03172899340631446,0.6248635633670481
