seed,feature_group,mask_type,strength,repeat,n_masked_features,baseline_auc,masked_auc,delta_auc,flip_rate,malware_to_benign_flip_rate,benign_to_malware_flip_rate,mean_probability_shift,mean_signed_probability_shift,threshold
13,section,random,0.1,3,23,0.97592197125,0.940931825,0.034990146249999965,0.11915,0.06965,0.0495,0.11587125416486349,-0.03862294902000036,0.5
13,imports,important,0.01,0,13,0.92552907125,0.9134708475000001,0.012058223749999875,0.0499,0.043675,0.006225,0.04990137618976084,-0.030180436686373047,0.5
13,imports,random,0.01,1,13,0.92552907125,0.9263197612499998,-0.0007906899999998718,0.0062,0.003275,0.002925,0.004439526375557127,0.0015383021831168906,0.5
13,imports,random,0.01,2,13,0.92552907125,0.9270816449999999,-0.0015525737499999526,0.003275,0.00195,0.001325,0.0038150560352516235,-0.00013624943644271022,0.5
13,imports,random,0.01,3,13,0.92552907125,0.9247595049999999,0.00076956625000002,0.003525,0.002775,0.00075,0.0036073180899698727,-0.0021255394213709616,0.5
13,imports,important,0.05,0,65,0.92552907125,0.8910672225,0.03446184874999991,0.107325,0.097275,0.01005,0.09215783894647615,-0.05802269289479095,0.5
13,imports,random,0.05,1,65,0.92552907125,0.9234221537499999,0.0021069175000000273,0.016175,0.013925,0.00225,0.016199744661569572,-0.010759102910260917,0.5
13,imports,random,0.05,2,65,0.92552907125,0.9226118537500001,0.002917217499999847,0.01285,0.00935,0.0035,0.013788662445578484,-0.006197747173812078,0.5
13,imports,random,0.05,3,65,0.92552907125,0.9231311762500001,0.002397894999999872,0.013875,0.0109,0.002975,0.014689176588206553,-0.0072102872795927,0.5
13,imports,important,0.1,0,129,0.92552907125,0.8731943287499999,0.05233474250000003,0.1437,0.130975,0.012725,0.1311362090020574,-0.07928872359591951,0.5
13,imports,random,0.1,1,129,0.92552907125,0.9184921137500001,0.007036957499999885,0.06275,0.00635,0.0564,0.05516484959338131,0.05032285556002635,0.5
13,imports,random,0.1,2,129,0.92552907125,0.91822204875,0.007307022499999927,0.02805,0.02285,0.0052,0.02682254822196262,-0.012874893293639897,0.5
13,imports,random,0.1,3,129,0.92552907125,0.9187241349999999,0.006804936250000004,0.020925,0.016575,0.00435,0.022871601605627255,-0.009893064665365612,0.5
13,strings,important,0.01,0,2,0.9713635924999999,0.85749851625,0.11386507624999997,0.51035,0.0,0.51035,0.4932485367629372,0.4932485367629372,0.5
13,strings,random,0.01,1,2,0.9713635924999999,0.9676573525,0.0037062399999999718,0.01825,0.008825,0.009425,0.016793450470969112,0.00031209474768720204,0.5
13,strings,random,0.01,2,2,0.9713635924999999,0.9695721912499999,0.001791401249999991,0.020125,0.00055,0.019575,0.019419602490116195,0.01681336886552357,0.5
13,strings,random,0.01,3,2,0.9713635924999999,0.9235272175,0.04783637499999993,0.06205,0.0,0.06205,0.061134318880013847,0.06109738482909622,0.5
13,strings,important,0.05,0,9,0.9713635924999999,0.8432837412499999,0.12807985125,0.5258,0.0,0.5258,0.5179344826761014,0.5179344826761014,0.5
13,strings,random,0.05,1,9,0.9713635924999999,0.9618651412500001,0.009498451249999817,0.0989,0.09785,0.00105,0.09426548491090485,-0.09196474449458937,0.5
13,strings,random,0.05,2,9,0.9713635924999999,0.9431926562499999,0.02817093625,0.1334,0.005875,0.127525,0.12454116707504813,0.11026441368079727,0.5
13,strings,random,0.05,3,9,0.9713635924999999,0.96959382,0.0017697724999998776,0.03185,0.001775,0.030075,0.030213135040505955,0.026606106938732766,0.5
13,strings,important,0.1,0,18,0.9713635924999999,0.8453024400000001,0.12606115249999983,0.525375,0.0,0.525375,0.5174938185023893,0.5174929277109732,0.5
13,strings,random,0.1,1,18,0.9713635924999999,0.95479447625,0.016569116249999905,0.07245,0.0619,0.01055,0.07561174565629317,-0.05284164389336907,0.5
13,strings,random,0.1,2,18,0.9713635924999999,0.9539912225,0.017372369999999915,0.054,0.0318,0.0222,0.05748596204590692,-0.011229368934005998,0.5
13,strings,random,0.1,3,18,0.9713635924999999,0.96038389625,0.010979696249999948,0.053175,0.04035,0.012825,0.05253825954379812,-0.02852078948518344,0.5
42,all,important,0.01,0,18,0.9865296625,0.9614428962500001,0.025086766249999837,0.143625,0.002325,0.1413,0.1461282893980463,0.1410739905104441,0.5
42,all,random,0.01,1,18,0.9865296625,0.9862844175000001,0.000245244999999894,0.0083,0.000675,0.007625,0.007340701848751118,0.006152055405419288,0.5
42,all,random,0.01,2,18,0.9865296625,0.9863894475000001,0.00014021499999983256,0.01985,0.01975,0.0001,0.019856973500496575,-0.019715552039799224,0.5
42,all,random,0.01,3,18,0.9865296625,0.9864927487499999,3.691375000003383e-05,0.003525,0.000675,0.00285,0.003679626437280071,0.002400116761473121,0.5
42,all,important,0.05,0,88,0.9865296625,0.89491329,0.09161637249999999,0.156175,0.0772,0.078975,0.16375692304563644,0.004882281594633175,0.5
42,all,random,0.05,1,88,0.9865296625,0.98494387125,0.0015857912499999127,0.0395,0.036375,0.003125,0.040249147830404376,-0.03388254632978728,0.5
