seed,feature_group,density_bin,n_samples,auc,acc,positive_rate,mean_probability,silhouette,js_divergence,density_q25,density_q75
77,imports,high_density,14189,0.8460537455044694,0.8328987243639439,0.2881809852702798,0.5056575975009117,0.26270267367362976,0.08418283945356964,-0.3051968812942505,0.0
77,imports,mid_density,15811,0.9622618969858538,0.8778698374549364,0.614761874644235,0.6460735320947971,0.13380016386508942,0.03893209896025339,-0.3051968812942505,0.0
77,imports,low_density,10000,0.902699989959773,0.8664,0.2295,0.24322433584729988,-0.05707046017050743,0.016137806150245404,-0.3051968812942505,0.0
77,strings,high_density,10000,0.9974446420623081,0.9595,0.326,0.32778855398298784,0.22804699838161469,0.0005384609326519463,-0.2650805413722992,-0.023305175825953484
77,strings,mid_density,20000,0.9688338800027272,0.8962,0.54025,0.5475117589909693,0.019252106547355652,0.0004870337350783031,-0.2650805413722992,-0.023305175825953484
77,strings,low_density,10000,0.9331558474171758,0.8652,0.404,0.4149763301791171,0.03993482515215874,0.001883517174403469,-0.2650805413722992,-0.023305175825953484
123,all,high_density,10000,0.9970007015236924,0.9514,0.3261,0.33707598217520024,0.2828742563724518,0.0652269930717846,-0.3729471266269684,-0.012362973764538765
123,all,mid_density,20000,0.9884098292891786,0.94845,0.6142,0.6173388787288476,0.05559973046183586,0.08424395447002794,-0.3729471266269684,-0.012362973764538765
123,all,low_density,10000,0.9639754980557191,0.9155,0.3375,0.34306970955441507,-0.005351390689611435,0.07952109438390897,-0.3729471266269684,-0.012362973764538765
123,header,high_density,10000,0.9995563148159459,0.9879,0.7072,0.7016956035685329,0.4575924873352051,0.16191850467575472,-0.020682187750935555,-2.9525161153287627e-05
123,header,mid_density,20000,0.9640197116967559,0.8978,0.28335,0.2950785519755456,0.11429297924041748,0.07467210045540046,-0.020682187750935555,-2.9525161153287627e-05
123,header,low_density,10000,0.9507196817537329,0.8714,0.54,0.5431005704648052,0.028641076758503914,0.07289664423425102,-0.020682187750935555,-2.9525161153287627e-05
123,section,high_density,10000,0.9979684566851743,0.9682,0.4145,0.4194819456762118,0.30633699893951416,0.04627320766824396,-0.02682734653353691,-0.00036983488826081157
123,section,mid_density,20000,0.9653936863334567,0.8915,0.3633,0.3903231253632169,0.08575398474931717,0.08682900803412436,-0.02682734653353691,-0.00036983488826081157
123,section,low_density,10000,0.9532507820579114,0.8911,0.6814,0.6839647725809056,-0.05541867017745972,0.24791250568401696,-0.02682734653353691,-0.00036983488826081157
123,imports,high_density,18624,0.8951345068035579,0.8578178694158075,0.41349871134020616,0.6061110870503718,0.18523533642292023,0.07706694045498554,-0.30310285091400146,-6.556510925292969e-07
