seed,feature_group,mask_type,repeat,strength,density_bin,n_samples,baseline_auc,masked_auc,delta_auc,flip_rate,benign_to_malware_rate_overall,malware_to_benign_rate_overall,mean_abs_probability_shift,mean_signed_probability_shift
13,header,random,3,0.05,mid_density,19999,0.9657712799826054,0.9582484091486672,0.007522870833938211,0.05590279513975699,0.028651432571628582,0.006050302515125756,0.07531403266301795,0.05015050126051451
13,header,random,3,0.05,low_density,10001,0.9511663174783975,0.9452378810809953,0.005928436397402259,0.0575942405759424,0.0240975902409759,0.007499250074992501,0.06260786447327249,0.03127392776183519
13,header,important,0,0.1,high_density,10000,0.9994215082170942,0.99434849300962,0.005073015207474163,0.0432,0.0245,0.0121,0.04794239663901945,0.028177589033959977
13,header,important,0,0.1,mid_density,19999,0.9657712799826054,0.8441442268070476,0.12162705317555778,0.3303165158257913,0.25821291064553226,0.020301015050752536,0.3105860191567039,0.26763587082419493
13,header,important,0,0.1,low_density,10001,0.9511663174783975,0.7751003645871095,0.176065952891288,0.2976702329767023,0.1962803719628037,0.030996900309969003,0.28894281858404086,0.21066283470975172
13,header,random,1,0.1,high_density,10000,0.9994215082170942,0.8565877097357292,0.14283379848136502,0.6868,0.0,0.6844,0.5507540964893224,-0.5060951756276032
13,header,random,1,0.1,mid_density,19999,0.9657712799826054,0.8148496400113221,0.15092163997128327,0.27561378068903447,0.0,0.2423621181059053,0.2561548811205456,-0.22455889380288613
13,header,random,1,0.1,low_density,10001,0.9511663174783975,0.804137126617736,0.14702919086066157,0.48705129487051296,0.00019998000199980003,0.45265473452654736,0.4328427309631829,-0.42462948770597264
13,header,random,2,0.1,high_density,10000,0.9994215082170942,0.7924281886917323,0.20699331952536193,0.3129,0.2533,0.0527,0.4553554996703981,-0.19021242759476908
13,header,random,2,0.1,mid_density,19999,0.9657712799826054,0.7474996093426335,0.21827167063997188,0.37266863343167156,0.31091554577728886,0.01615080754037702,0.398792753741374,0.19323642475350264
13,header,random,2,0.1,low_density,10001,0.9511663174783975,0.8149806603738098,0.13618565710458774,0.24287571242875713,0.14108589141085892,0.0410958904109589,0.377512071903512,-0.023853848576125845
13,header,random,3,0.1,high_density,10000,0.9994215082170942,0.8753449660929243,0.12407654212416985,0.2717,0.2627,0.0,0.27230981147338146,0.26922439203311194
13,header,random,3,0.1,mid_density,19999,0.9657712799826054,0.8973844418826962,0.0683868380999092,0.6505825291264563,0.5820291014550728,0.0001000050002500125,0.6072471794547449,0.6052370096862554
13,header,random,3,0.1,low_density,10001,0.9511663174783975,0.862185415374761,0.08898090210363652,0.40435956404359563,0.3147685231476852,9.999000099990002e-05,0.3695693302527821,0.3675500959181379
13,section,important,0,0.01,high_density,10000,0.9983477351521699,0.8155772257080558,0.1827705094441141,0.1909,0.009,0.1761,0.2883772479648648,-0.07522935101511495
13,section,important,0,0.01,mid_density,20000,0.9639150123081821,0.8044678701333693,0.15944714217481282,0.24185,0.01035,0.1971,0.24930050986991228,-0.10873102673021012
13,section,important,0,0.01,low_density,10000,0.9549662224318906,0.8370943271612219,0.11787189527066866,0.3924,0.0046,0.3443,0.32743950564400964,-0.2777600541255494
13,section,random,1,0.01,high_density,10000,0.9983477351521699,0.9981906501450296,0.0001570850071402896,0.0001,0.0,0.0,0.005479093960924365,0.003989378706617572
13,section,random,1,0.01,mid_density,20000,0.9639150123081821,0.9601214233810558,0.0037935889271263346,0.01785,0.00765,0.00355,0.04238502214095477,0.02998396080304472
13,section,random,1,0.01,low_density,10000,0.9549662224318906,0.9510554310649839,0.003910791366906641,0.0256,0.0105,0.0045,0.02852758162131135,0.015387179764382938
13,section,random,2,0.01,high_density,10000,0.9983477351521699,0.9983477351521698,1.1102230246251565e-16,0.0,0.0,0.0,3.8616296801876615e-07,2.3144875671903265e-07
13,section,random,2,0.01,mid_density,20000,0.9639150123081821,0.9640785192624072,-0.00016350695422506778,0.00095,0.0,0.00035,0.0007436367873629548,-0.0006442117709615654
13,section,random,2,0.01,low_density,10000,0.9549662224318906,0.9551319966977239,-0.00016577426583330723,0.0046,0.0013,0.0009,0.004745873025429003,-0.0015089000869177426
13,section,random,3,0.01,high_density,10000,0.9983477351521699,0.9983477351521699,0.0,0.0,0.0,0.0,2.106689884885782e-06,-2.106689884885782e-06
13,section,random,3,0.01,mid_density,20000,0.9639150123081821,0.9640926593838153,-0.0001776470756331694,0.00075,0.0,0.00025,0.0006233058813663931,-0.0005714712321841361
13,section,random,3,0.01,low_density,10000,0.9549662224318906,0.9539969807760348,0.0009692416558557682,0.0025,0.0003,0.001,0.0033862038637106763,-0.0023239141876647525
13,section,important,0,0.05,high_density,10000,0.9983477351521699,0.810723084578322,0.18762465057384792,0.2572,0.0215,0.2254,0.2553460223822135,-0.1893865598205862
13,section,important,0,0.05,mid_density,20000,0.9639150123081821,0.7777684377793835,0.18614657452879857,0.2732,0.0287,0.2065,0.2394813477290937,-0.15240562843666935
13,section,important,0,0.05,low_density,10000,0.9549662224318906,0.8433755867437198,0.11159063568817074,0.3581,0.0071,0.3097,0.31345580310614285,-0.2772552605720806
13,section,random,1,0.05,high_density,10000,0.9983477351521699,0.9849917472723522,0.013355987879817732,0.1075,0.0837,0.0,0.15858539532706104,0.1585440779990257
13,section,random,1,0.05,mid_density,20000,0.9639150123081821,0.9050523148771836,0.05886269743099848,0.4442,0.3668,0.0,0.3859765761782509,0.38526610877997847
