feature_group,mask_type,strength,density_bin,n_rows,baseline_auc_mean,baseline_auc_std,baseline_auc_min,baseline_auc_max,masked_auc_mean,masked_auc_std,masked_auc_min,masked_auc_max,delta_auc_mean,delta_auc_std,delta_auc_min,delta_auc_max,flip_rate_mean,flip_rate_std,flip_rate_min,flip_rate_max,benign_to_malware_rate_overall_mean,benign_to_malware_rate_overall_std,benign_to_malware_rate_overall_min,benign_to_malware_rate_overall_max,malware_to_benign_rate_overall_mean,malware_to_benign_rate_overall_std,malware_to_benign_rate_overall_min,malware_to_benign_rate_overall_max,mean_abs_probability_shift_mean,mean_abs_probability_shift_std,mean_abs_probability_shift_min,mean_abs_probability_shift_max,mean_signed_probability_shift_mean,mean_signed_probability_shift_std,mean_signed_probability_shift_min,mean_signed_probability_shift_max
all,random,0.01,low_density,15,0.9642542760688442,0.0009096065795938476,0.9628977880169276,0.9655690933046043,0.9640041748899945,0.0011509023617938565,0.9618015803255395,0.9661850582107879,0.00025010117884998183,0.000583854190417668,-0.0006159649061836525,0.0012309319119064854,0.014966666666666665,0.014181521623420935,0.0041,0.0576,0.001733333333333333,0.0017457249369690392,0.0,0.006,0.007273333333333334,0.010563299147940897,0.0004,0.0401,0.015702235391180364,0.014054697256736316,0.00468118692723753,0.05846958651426053,-0.007926854810154326,0.01780487970473369,-0.058454812910179024,0.010179485791955345
all,random,0.01,mid_density,15,0.9883895205704787,0.0008915669412178577,0.986911013509364,0.9894110984365997,0.9882318944790552,0.0009505898750763486,0.9863359632649067,0.9896107541858975,0.00015762609142368303,0.0002471971408751506,-0.00022863851497634258,0.0006100878702851587,0.012306666666666667,0.011415645209779232,0.00285,0.04625,0.0010866666666666668,0.001306836723627792,0.0,0.0046,0.007033333333333333,0.009822841860796816,0.00035,0.0379,0.012116616197225807,0.011577540757376104,0.002426091930176255,0.0469208935019835,-0.006867167264209492,0.014169369620031853,-0.0469114712324894,0.008311118650347643
all,random,0.05,high_density,15,0.9972354106252879,0.00024393288048609393,0.9970007015236924,0.9975783679830571,0.99539043054185,0.002686562496117805,0.9864619106184034,0.9974016657985003,0.0018449800834378527,0.002614455333157292,-0.0001290254280754688,0.010543475931933277,0.03229333333333333,0.039088369398354576,0.0032,0.1653,0.014893333333333333,0.03451719313939391,0.0,0.1399,0.006919999999999999,0.009495205807844995,0.0,0.0329,0.02898558822106382,0.03549888431380362,0.0029919046425644523,0.1516315298879216,0.014963328177802044,0.042163144422431964,-0.038463501718814,0.15163152931571702
all,random,0.05,low_density,15,0.9642542760688442,0.0009096065795938476,0.9628977880169276,0.9655690933046043,0.9607098151473339,0.004203336946944914,0.9472480055986101,0.9658160953621449,0.003544460921510284,0.004015225502146349,-0.0002470020575405796,0.016697956976557293,0.05888,0.05658632579225007,0.0149,0.2302,0.03142666666666667,0.04952391296692493,0.0002,0.1847,0.009853333333333332,0.015627704743677348,0.0,0.0572,0.060425746745754724,0.05465722494659233,0.01721877644916429,0.22463161651153032,0.029675830828745822,0.07423251366594454,-0.07966015643106902,0.22459102306622927
all,random,0.05,mid_density,15,0.9883895205704787,0.0008915669412178577,0.986911013509364,0.9894110984365997,0.9858289453895008,0.003091658657496323,0.9764908907427823,0.9892796446021769,0.0025605751809780085,0.00292294213500935,-0.0001021110540309067,0.011547237326323123,0.047453333333333333,0.042576294134438496,0.0122,0.1739,0.022266666666666667,0.036529438661015434,0.0,0.13755,0.010406666666666668,0.016730938075579887,0.0,0.0596,0.047533311979109746,0.041698700380521224,0.012325864785710197,0.1706047947453736,0.019606295888742204,0.05867214448405192,-0.07780599603850036,0.1706032033311604
all,random,0.1,high_density,15,0.9972354106252879,0.00024393288048609393,0.9970007015236924,0.9975783679830571,0.9933152558180965,0.002914548582147102,0.9871444333074424,0.9967731692370981,0.003920154807191404,0.00288612899632525,0.00023221731323852524,0.009856268216249964,0.050266666666666675,0.04208772848335829,0.0077,0.1513,0.01708,0.025474881746536133,0.0,0.0943,0.01942,0.035911673125415176,0.0,0.145,0.051102592039010956,0.03719551323743351,0.011443551283129863,0.14031954555479723,0.008677898966978981,0.06020551964488477,-0.14031954555479723,0.13837471227005263
all,random,0.1,low_density,15,0.9642542760688442,0.0009096065795938476,0.9628977880169276,0.9655690933046043,0.9560605793807955,0.004468208227109499,0.9488461082287549,0.9632142000714929,0.008193696688048738,0.004300202167900173,0.0014003211678126348,0.01603693016304819,0.08330666666666665,0.05232205993226524,0.0247,0.1937,0.03372666666666667,0.04474856372617512,0.0,0.1549,0.02764,0.04258489246982628,0.0002,0.1683,0.08819515624755396,0.05024505958951554,0.028493615977425453,0.19308287790415285,0.013627494225182328,0.09494933367359913,-0.19305943793944536,0.1881018325506814
all,random,0.1,mid_density,15,0.9883895205704787,0.0008915669412178577,0.986911013509364,0.9894110984365997,0.9819282995834266,0.0032539904832330968,0.9760672768528171,0.9866798498932018,0.00646122098705216,0.003524851540961928,0.0013582781759036155,0.012737281342320217,0.07801,0.0559523195825398,0.0245,0.24915,0.02664333333333333,0.03442408975638362,0.0,0.1146,0.03388666666666667,0.05887655862527595,5e-05,0.23625,0.08053365294456899,0.05371207516564461,0.025126341331656876,0.24186405800524827,0.0009556725884604711,0.0919888203523012,-0.24186292936119722,0.14307153052854185
header,important,0.01,high_density,5,0.9994427325279407,0.00010296111025227757,0.9992619965877647,0.9995563148159459,0.9768716236092022,0.016166340309178767,0.9463792293340888,0.9920980097598182,0.022571108918738415,0.016175396083561895,0.007349651519386491,0.05304227888300539,0.06287746050789841,0.0013017207173101999,0.0616,0.0651,0.052637968406318736,0.0018060710878142626,0.05078984203159368,0.056,0.0014598880223955209,0.0014107090239223435,0.0,0.0034,0.06708492470500786,0.0011378521166926787,0.06554401621898255,0.06880542026818613,0.06521823280321748,0.0027487424112543806,0.06094150901014307,0.06830044451913446
header,important,0.01,low_density,5,0.9510264680582278,0.0012937511012688387,0.9488077198679767,0.9527126125790691,0.8804097063238311,0.015718786823182552,0.8517775988043799,0.8943681929992029,0.07061676173439661,0.016108924922973302,0.05735781561275899,0.09938871867401766,0.2537740305969403,0.03261226516397524,0.2032,0.29847015298470153,0.1793357204279572,0.026025560768693168,0.1401,0.21397860213978603,0.0013599980001999799,0.0006770561568378558,9.999000099990002e-05,0.002,0.24790883220336588,0.027537657818064745,0.20351435616001928,0.2841583195758646,0.24321894939956018,0.02947799777743647,0.1960789332093651,0.28304659411102256
