seed,feature_group,mask_type,strength,high_density_flip_rate,low_density_flip_rate,delta_flip_density,flip_density_ratio
123,imports,important,0.05,0.09042096219931271,0.1333,0.04287903780068729,1.47421567695962
123,imports,important,0.1,0.08848797250859107,0.149,0.06051202749140892,1.6838446601941746
123,imports,random,0.01,0.0006264318442153493,0.011266666666666668,0.010640234822451319,17.98546285714286
123,imports,random,0.05,0.01866766895761741,0.046000000000000006,0.027332331042382595,2.464153403643337
123,imports,random,0.1,0.005118843069873998,0.042366666666666664,0.03724782359679266,8.27660979020979
123,section,important,0.01,0.1906,0.3312,0.1406,1.7376705141657922
123,section,important,0.05,0.5629,0.2257,-0.33719999999999994,0.4009593178184403
123,section,important,0.1,0.2492,0.2589,0.009700000000000014,1.03892455858748
123,section,random,0.01,0.029233333333333333,0.059699999999999996,0.030466666666666663,2.042189281641961
123,section,random,0.05,0.05623333333333334,0.08926666666666667,0.03303333333333334,1.5874333135743925
123,section,random,0.1,0.14243333333333333,0.11263333333333332,-0.029800000000000007,0.7907793119588111
123,strings,important,0.01,0.6565,0.5582,-0.09829999999999994,0.8502665651180503
123,strings,important,0.05,0.6635,0.5431,-0.12039999999999995,0.8185380557648833
123,strings,important,0.1,0.69,0.5661,-0.1238999999999999,0.8204347826086957
123,strings,random,0.01,0.007166666666666666,0.018233333333333334,0.011066666666666669,2.544186046511628
123,strings,random,0.05,0.33240000000000003,0.3398666666666667,0.007466666666666677,1.0224628961091056
123,strings,random,0.1,0.6683,0.5354666666666666,-0.13283333333333336,0.801236969424909
2024,all,important,0.01,0.5878,0.3061,-0.2817,0.5207553589656345
2024,all,important,0.05,0.6358,0.3822,-0.25360000000000005,0.6011324315822585
2024,all,important,0.1,0.6173,0.2252,-0.39209999999999995,0.3648145148226147
2024,all,random,0.01,0.006166666666666667,0.020900000000000002,0.014733333333333334,3.3891891891891897
2024,all,random,0.05,0.024566666666666667,0.0491,0.02453333333333333,1.9986431478968791
2024,all,random,0.1,0.02513333333333333,0.040766666666666666,0.015633333333333336,1.6220159151193636
2024,header,important,0.01,0.0634873025394921,0.2032,0.1397126974605079,3.20064
2024,header,important,0.05,0.6780643871225754,0.4878,-0.19026438712257543,0.7194007077558243
2024,header,important,0.1,0.2710457908418316,0.4476,0.17655420915816838,1.6513814828476578
2024,header,random,0.01,0.0005998800239952009,0.006533333333333333,0.0059334533093381315,10.891066666666667
2024,header,random,0.05,0.47157235219622745,0.3965,-0.07507235219622743,0.8408041696113074
