seed,feature_group,test_week,perturbation_type,strength,trial_id,n_masked_features,auc,mix_at_k,silhouette,js_divergence,delta_auc,delta_mix_at_k,delta_silhouette,delta_js_divergence
77,imports,2024-11-10_2024-11-16,random,0.1,2,129,0.89341670625,0.1806275,0.027804933297090106,0.027717336987592975,-0.005376585000000045,-0.00021250000000000435,0.00035417795331970855,-0.0012116748023375083
77,imports,2024-11-10_2024-11-16,random,0.1,3,129,0.8602607337500001,0.1813525,0.02723369284518343,0.02739744989785681,-0.03853255749999995,0.0005124999999999991,-0.00021706249858696736,-0.0015315618920736726
77,imports,2024-11-10_2024-11-16,random,0.1,4,129,0.8848767637500001,0.18143,0.027793348489158376,0.027437362152345664,-0.013916527499999942,0.0005900000000000072,0.0003425931453879781,-0.0014916496375848194
77,imports,2024-11-10_2024-11-16,random,0.1,5,129,0.8417571837499999,0.1809875,0.027332226611629755,0.02792322626198785,-0.05703610750000021,0.00014749999999999486,-0.00011852873214064294,-0.0010057855279426327
77,imports,2024-11-10_2024-11-16,random,0.1,6,129,0.89025371875,0.1801275,0.02739375536965202,0.027292279396891612,-0.008539572500000037,-0.0007125000000000048,-5.699997411837826e-05,-0.0016367323930388707
77,imports,2024-11-10_2024-11-16,random,0.1,7,129,0.87734030625,0.1811925,0.027142662824437874,0.027093566847073713,-0.021452985000000035,0.0003525000000000056,-0.0003080925193325243,-0.0018354449428567704
77,imports,2024-11-10_2024-11-16,random,0.1,8,129,0.8516831812499999,0.1820925,0.026562619489162127,0.026913695400027842,-0.047110110000000205,0.0012524999999999897,-0.0008881358546082713,-0.002015316389902641
77,imports,2024-11-10_2024-11-16,random,0.1,9,129,0.88945890625,0.1817,0.027571783183253967,0.027332169968261197,-0.009334385000000056,0.0008599999999999997,0.00012102783948356871,-0.0015968418216692863
77,imports,2024-11-10_2024-11-16,random,0.1,10,129,0.87829195375,0.18184,0.027123798659433453,0.027584411587100524,-0.02050133750000005,0.0010000000000000009,-0.0003269566843369445,-0.001344600202829959
77,imports,2024-11-10_2024-11-16,random,0.1,11,129,0.8931694037500002,0.182575,0.027511574202472373,0.027580863363069037,-0.005623887499999869,0.0017349999999999866,6.081885870197479e-05,-0.001348148426861446
77,imports,2024-11-10_2024-11-16,random,0.1,12,129,0.8726953712500001,0.18044,0.027637157804388506,0.027732076955942046,-0.026097919999999997,-0.00040000000000001146,0.00018640246061810833,-0.0011969348339884375
77,imports,2024-11-10_2024-11-16,random,0.1,13,129,0.8984966925000001,0.1807875,0.027222087401755732,0.054747330601399094,-0.0002965987499999878,-5.250000000001087e-05,-0.00022866794201466603,0.02581831881146861
77,imports,2024-11-10_2024-11-16,random,0.1,14,129,0.87750417125,0.1817525,0.027723206842403498,0.02754778069438219,-0.02128912000000005,0.0009125000000000105,0.00027245149863310003,-0.0013812310955482916
77,imports,2024-11-10_2024-11-16,random,0.1,15,129,0.8670611512500002,0.1804075,0.026978686291289362,0.027059544009748596,-0.03173213999999991,-0.0004325000000000023,-0.00047206905248103545,-0.0018694677801818875
77,imports,2024-11-10_2024-11-16,random,0.1,16,129,0.8883952875000001,0.1820625,0.027835294754010743,0.027776981492022568,-0.010398003749999996,0.0012224999999999875,0.0003845394102403449,-0.0011520302979079154
77,imports,2024-11-10_2024-11-16,random,0.1,17,129,0.8779321274999999,0.1805325,0.027575542223422934,0.02732426125474607,-0.020861163750000133,-0.00030749999999998834,0.00012478687965253657,-0.0016047505351844127
77,imports,2024-11-10_2024-11-16,random,0.1,18,129,0.86585062625,0.181445,0.027980954292148516,0.027704000826205413,-0.03294266500000009,0.0006049999999999944,0.0005301989483781182,-0.0012250109637250706
77,imports,2024-11-10_2024-11-16,random,0.1,19,129,0.88554865125,0.1806175,0.027611972167732927,0.027137157289631487,-0.01324464000000003,-0.00022250000000001435,0.0001612168239625289,-0.0017918545002989957
77,imports,2024-11-10_2024-11-16,random,0.1,20,129,0.8906084987499999,0.181705,0.02779433107063017,0.027844307701827525,-0.008184792500000149,0.0008650000000000047,0.0003435757268597725,-0.0010847040881029578
77,imports,2024-11-17_2024-11-23,baseline,0.0,0,0,0.8963151037500001,0.1414075,0.018815171186935167,0.02467995709971211,0.0,0.0,0.0,0.0
77,imports,2024-11-17_2024-11-23,important,0.01,0,13,0.86274200125,0.1433225,0.017587618721282228,0.04970815372775075,-0.03357310250000012,0.001915,-0.0012275524656529396,0.025028196628038638
